Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
52.000429,30,24.51188109,5.515173246,7,20.38,139.342,17.747,135.7638,11978,2.026818979,0.207207007,30,2.650073208,12.00744557,29.93258892,3.331274751,3.594509126,1563.376782,36.73697765,1141.115595,10.32227056,879.2035668,131.7432093,39.02512805,128.4666896,3589.131592,56888.989
52.505349,30,24.82153429,5.584845216,7,21.877,136.217,17.566,134.3799,13272,2.029816651,0.202082874,30,2.410715311,12.08326162,30.10784991,3.088071093,3.575683191,1569.749787,35.97005007,1145.761948,10.12974281,882.8990264,132.4912316,38.72522377,129.0303936,3603.471768,57483.2277
53.010269,30,24.94770749,5.613234186,7,20.272,133.834,17.123,130.9902,12452,2.035944005,0.196656148,30,2.161156077,12.13346853,30.29414844,2.828089924,3.559903988,1576.893952,35.15905997,1150.944568,9.923528263,887.0419877,133.3200317,38.38386042,129.65495,3619.525251,56349.02326
52.606333,30,25.00477693,5.62607481,7,21.441,131.837,17.031,130.2864,13453,2.043119343,0.191065281,30,1.90966697,12.14942674,30.48692995,2.555844557,3.548619479,1584.748362,34.32509959,1156.618168,9.709083702,891.591704,134.2197021,38.00844594,130.3333419,3637.154146,57101.41764
53.086007,30,24.96204447,5.616460006,7,21.895,131.328,17.025,130.23975,13815,2.05002018,0.18546397,30,1.667592069,12.11963987,30.68180772,2.278612143,3.543616005,1593.195163,33.49150672,1162.700034,9.493102221,896.4756449,135.1731982,37.61147147,131.0538974,3656.093797,57042.17314
52.606333,30,24.88022693,5.59805106,7,21.843,131.113,16.995,130.0125,13803,2.06030415,0.17987085,30,1.430377668,12.05377116,30.87264921,1.993057699,3.544014433,1601.908139,32.65459842,1168.940361,9.27281027,901.5032025,136.156591,37.17022663,131.7895783,3675.583492,56839.08557
52.656825,30,24.71873825,5.561716107,7,19.724,129.632,16.595,126.9525,12514,2.075013124,0.1743022,30,1.196672053,11.96213495,31.05321887,1.69750621,3.54886315,1610.464517,31.80841959,1175.016718,9.045156025,906.4280914,137.1366416,36.66163007,132.505004,3694.63496,55633.9777
52.682071,30,24.59411391,5.53367563,7,19.397,127.223,16.291,124.6269,12542,2.089367861,0.168860874,30,0.981377274,11.83737005,31.21922223,1.401916556,3.559386642,1618.507115,30.96445165,1180.668017,8.814467078,911.0412727,138.0746803,36.09329764,133.1686136,3712.419665,55517.01964
52.404365,30,24.47942165,5.507869872,7,18.065,124.57,15.848,121.23945,11865,2.100068966,0.163605897,30,0.793499764,11.67825925,31.36821426,1.116741518,3.575809893,1625.690245,30.12756042,1185.641562,8.583437696,915.1414977,138.9326423,35.47156577,133.7511418,3728.129573,54516.96013
52.151905,30,24.21330505,5.447993637,7,18.032,122.009,15.56,119.03475,12118,2.104929874,0.158582155,30,0.639996053,11.48448666,31.49939749,0.855706084,3.598056665,1631.77061,29.30347557,1189.762989,8.355740709,918.5867247,139.6778956,34.81067943,134.2325798,3741.189084,54540.22877
52.061009,30,24.04400289,5.409900651,7,17.431,119.832,15.252,116.67405,11906,2.09996383,0.153844862,30,0.522776686,11.25805126,31.61340956,0.635073521,3.625540306,1636.641619,28.50209948,1192.96398,8.136735493,921.3152727,140.2868541,34.13302969,134.6058602,3751.342789,54308.48151
52.444756,30,24.02832276,5.406372621,7,17.354,117.937,15.032,114.99705,12059,2.089250054,0.149404747,30,0.437356481,11.00742707,31.71106521,0.466229681,3.656819113,1640.299669,27.72878671,1195.249375,7.930063334,923.3258392,140.7493478,33.45488852,134.8733774,3758.57644,54650.74095
52.757809,30,24.15801089,5.435552451,7,17.689,116.835,14.947,114.3453,12446,2.073211855,0.145289201,30,0.37860756,10.73939485,31.79341328,0.352093457,3.690765653,1642.846906,26.99279602,1196.706812,7.739460343,924.6809337,141.072632,32.7923703,135.0466459,3763.15443,55246.93947
53.161745,30,24.51241145,5.515292577,7,18.368,116.724,15.01,114.828,12982,2.056841041,0.141484812,30,0.339356764,10.46318031,31.86150004,0.281261935,3.726141725,1644.436564,26.29715649,1197.457818,7.564531854,925.4741857,141.2823157,32.14783048,135.1410596,3765.485346,56015.50971
53.515189,30,24.95082069,5.613934656,7,18.373,116.978,15.039,115.04835,12956,2.044331894,0.137935551,30,0.312064821,10.18983739,31.91636804,0.23679318,3.76158309,1645.252575,25.6366325,1197.638052,7.401090658,925.8155241,141.4115565,31.51189794,135.1734731,3766.038372,56372.08522
54.424045,30,25.33702445,5.700830502,7,18.087,116.911,15,114.7485,12745,2.036751248,0.134582473,30,0.291793219,9.927969098,31.95886733,0.207212161,3.796029155,1645.48165,25.00440627,1197.380387,7.245094012,925.8134634,141.4877525,30.87559399,135.1598395,3765.260718,56645.61873
55.151135,30,25.87738335,5.822411254,7,19.31,117.556,15.207,116.3358,13597,2.028537948,0.131454428,30,0.278798734,9.67675391,31.98936525,0.188549581,3.829583827,1645.262689,24.40784819,1196.795685,7.097298412,925.5513434,141.5271986,30.24406515,135.112361,3763.504025,57778.65657
57.130437,30,26.56143477,5.976322824,7,20.389,119.384,15.53,118.80675,14171,2.019541663,0.12855757,30,0.271349938,9.437998028,32.00844224,0.177150498,3.861977825,1644.677037,23.84955912,1195.947786,6.956761207,925.0789527,141.54046,29.61534962,135.0383229,3760.972456,58544.02701
63.406603,30,29.69733363,6.681900067,7,25.748,121.592,16.371,125.2389,17637,2.007915219,0.126029725,30,0.274438445,9.202621659,32.01437887,0.174743599,3.894405482,1643.728361,23.35605138,1194.86758,6.830106204,924.4072406,141.5279395,29.00785964,134.9398019,3757.744494,62083.97155
77.852424,30,35.57776504,8.004997134,7,27.434,129.566,17.444,133.4496,17635,1.992529643,0.123875238,30,0.283660275,8.978939864,32.00578398,0.177491615,3.925848033,1642.41611,22.92716937,1193.550379,6.715410416,923.5366485,141.4927775,28.41042997,134.8172029,3753.818444,62712.46948
92.899092,30,41.50136732,9.337807647,7,38.139,139.287,19.714,150.8121,22461,1.980690089,0.122294174,30,0.307388863,8.76144145,31.97437656,0.190799293,3.957396657,1640.631124,22.60132969,1191.942231,6.624693956,922.4081559,141.4226592,27.84728918,134.6631652,3749.014918,68359.25883
104.007371,30,46.38140691,10.43581656,7,50.426,153.938,22.707,173.7093,26276,1.943580633,0.121696798,30,0.358311209,8.543506629,31.90637236,0.221595801,3.990504077,1638.064821,22.44446552,1189.863894,6.576734663,920.8559154,141.2888655,27.35029379,134.455975,3742.759424,73227.13542
123.371131,30,53.14846651,11.95840497,7,54.355,171.093,25.05,191.631,25598,1.920100036,0.12208923,30,0.431586245,8.362678468,31.78810143,0.270968751,4.021080955,1634.308908,22.45715611,1186.9664,6.574721998,918.6212933,141.0514599,26.89876187,134.160685,3734.028396,74759.25768
137.50893,30,57.6512553,12.97153245,7,64.853,185.275,27.792,212.6088,27780,1.896245268,0.123895743,30,0.549466098,8.238856966,31.59835102,0.359569545,4.047563923,1628.508191,22.70217894,1182.617497,6.643665279,915.1936581,140.6174977,26.53131973,133.7070853,3720.873704,79214.21426
149.77352,30,61.4852892,13.83419007,7,75.754,200.681,30.715,234.96975,29551,1.85404907,0.127824709,30,0.758886673,8.181509394,31.31762128,0.529683573,4.069402793,1619.377069,23.28150564,1175.89176,6.81980837,909.8166697,139.8380935,26.33648513,132.9893848,3700.392783,82963.03868
156.0143,30,63.191833,14.21816243,7,88.949,214.334,33.698,257.79045,31861,1.822652078,0.134509064,30,1.127555979,8.195409746,30.93725372,0.847297581,4.085986108,1605.699091,24.2848654,1165.880454,7.133622315,901.7570448,138.543972,26.43623322,131.9009884,3669.71155,87544.40432
154.66113,30,62.7415873,14.11685715,7,96.678,230.083,36.307,277.74705,32171,1.814767896,0.144613738,30,1.750221953,8.2585379,30.4611695,1.393901672,4.099636719,1586.848192,25.79988408,1152.0911,7.610629975,890.6131685,136.5999703,26.98643377,130.3757256,3627.234195,90817.16749
145.74417,30,59.0253957,13.28071404,7,102.536,243.93,38.496,294.4959,32180,1.837411003,0.158625077,30,2.717696483,8.325232103,29.90877508,2.228195707,4.11536065,1563.251577,27.88236683,1134.790941,8.26248547,876.5876869,133.9806043,28.12109505,128.4282949,3573.764189,93956.83649
