Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
52.000429,30,24.51188109,5.515173246,7,20.38,139.342,17.747,135.7638,11978,2.328627453,0.20950916,30,2.766412469,11.71364861,30.21736476,3.755568112,3.615429803,1564.842341,37.4678447,1151.698927,10.47026936,878.6462462,131.3090202,37.53551218,128.6841516,3597.801812,64920.79843
52.505349,30,24.82153429,5.584845216,7,21.877,136.217,17.566,134.3799,13272,2.371064185,0.204455091,30,2.539656563,11.75400116,30.4041052,3.52326286,3.600533091,1571.753085,36.72873449,1156.796564,10.28315006,882.6163874,132.0855631,37.27419754,129.2911809,3613.377082,66205.61551
53.010269,30,24.94770749,5.613234186,7,20.272,133.834,17.123,130.9902,12452,2.426102586,0.199049772,30,2.290705911,11.77632819,30.6012978,3.26699505,3.587733912,1579.460615,35.93753512,1162.448354,10.07820018,887.0475145,132.9511705,36.95382062,129.9621248,3630.72357,65405.60139
52.606333,30,25.00477693,5.62607481,7,21.441,131.837,17.031,130.2864,13453,2.499914568,0.193392343,30,2.02154925,11.78131405,30.80252033,2.987060261,3.577375908,1587.79982,35.10664771,1168.524324,9.858069171,891.8387637,133.8913258,36.56814243,130.6820103,3649.456473,66389.49265
53.086007,30,24.96204447,5.616460006,7,21.895,131.328,17.025,130.23975,13815,2.592205266,0.187694173,30,1.75215543,11.7504929,31.00267013,2.69463891,3.572227943,1596.593736,34.26869668,1174.9,9.632674832,896.8828759,134.8803821,36.13861918,131.4331192,3669.179014,66757.41976
52.606333,30,24.88022693,5.59805106,7,21.843,131.113,16.995,130.0125,13803,2.711106415,0.182007429,30,1.483537065,11.69074784,31.19458515,2.389316397,3.57184587,1605.438478,33.42423233,1181.267576,9.401390661,901.9443516,135.8854271,35.64955368,132.1814025,3688.952969,66748.74438
52.656825,30,24.71873825,5.561716107,7,19.724,129.632,16.595,126.9525,12514,2.867858657,0.17635325,30,1.21771594,11.61263598,31.37098858,2.070626953,3.575322875,1613.841932,32.56739953,1187.250516,9.162035234,906.7371493,136.8667028,35.08176168,132.8854343,3707.630015,65472.33443
52.682071,30,24.59411391,5.53367563,7,19.397,127.223,16.291,124.6269,12542,3.064688004,0.170837023,30,0.974410295,11.50596986,31.52789212,1.74890903,3.584278438,1621.42199,31.71010351,1192.568116,8.919326426,911.0384691,137.7834571,34.44662556,133.5109143,3724.326506,65487.774
52.404365,30,24.47942165,5.507869872,7,18.065,124.57,15.848,121.23945,11865,3.289730686,0.165561655,30,0.770501246,11.3601711,31.66443591,1.437767907,3.600089804,1627.892935,30.86594861,1197.017954,8.679053296,914.6825611,138.5999319,33.7653387,134.0328105,3738.385161,64817.25317
52.151905,30,24.21330505,5.447993637,7,18.032,122.009,15.56,119.03475,12118,3.527986223,0.160562831,30,0.610800125,11.17665401,31.78123089,1.148290534,3.622377559,1633.070215,30.0390724,1200.469157,8.444201524,917.562571,139.2912593,33.05309829,134.4365961,3749.374227,65061.6728
